venue,innings,batting_team,bowling_team,tot,wickets
Wankhede Stadium,2,Punjab Kings,Mumbai Indians,57,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,44,2
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,56,1
Arun Jaitley Stadium,1,Delhi Daredevils,Chennai Super Kings,39,1
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Daredevils,44,0
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,45,1
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,55,1
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,59,0
Rajiv Gandhi International Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,66,1
Arun Jaitley Stadium,1,Delhi Daredevils,Mumbai Indians,46,2
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Daredevils,55,1
Maharashtra Cricket Association Stadium,1,Punjab Kings,Chennai Super Kings,29,3
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Punjab Kings,33,3
Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,47,3
Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,33,3
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,46,3
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,51,1
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,45,0
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,67,1
Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,41,1
Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,34,1
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,33,2
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,16,1
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,54,0
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,47,1
Wankhede Stadium,1,Delhi Capitals,Mumbai Indians,45,2
Wankhede Stadium,2,Mumbai Indians,Delhi Capitals,46,3
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,32,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,64,0
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,43,1
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,58,1
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,53,2
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,51,2
M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,52,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,60,1
Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,35,1
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,69,0
Punjab Cricket Association IS Bindra Stadium,1,Mumbai Indians,Punjab Kings,62,1
Punjab Cricket Association IS Bindra Stadium,2,Punjab Kings,Mumbai Indians,38,0
Arun Jaitley Stadium,1,Kolkata Knight Riders,Delhi Capitals,36,2
Arun Jaitley Stadium,2,Delhi Capitals,Kolkata Knight Riders,45,1
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,59,0
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,30,3
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,29,3
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,44,3
Punjab Cricket Association IS Bindra Stadium,1,Punjab Kings,Delhi Capitals,54,2
Punjab Cricket Association IS Bindra Stadium,2,Delhi Capitals,Punjab Kings,49,1
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,48,0
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,55,0
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,40,1
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,34,3
Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,36,2
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,62,0
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,53,0
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,59,1
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,54,0
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,46,2
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,30,2
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,39,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,40,1
M Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,53,1
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,28,1
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,65,0
Punjab Cricket Association IS Bindra Stadium,1,Sunrisers Hyderabad,Punjab Kings,27,1
Punjab Cricket Association IS Bindra Stadium,2,Punjab Kings,Sunrisers Hyderabad,38,1
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,29,4
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,40,2
Wankhede Stadium,1,Punjab Kings,Mumbai Indians,50,0
Wankhede Stadium,2,Mumbai Indians,Punjab Kings,50,1
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,54,3
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,24,4
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,41,1
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,57,2
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,57,0
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,59,0
Punjab Cricket Association IS Bindra Stadium,1,Punjab Kings,Royal Challengers Bangalore,60,0
Punjab Cricket Association IS Bindra Stadium,2,Royal Challengers Bangalore,Punjab Kings,63,1
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,49,1
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,44,2
Rajiv Gandhi International Stadium,1,Delhi Capitals,Sunrisers Hyderabad,51,2
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Capitals,40,0
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,45,1
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,67,0
Punjab Cricket Association IS Bindra Stadium,1,Punjab Kings,Rajasthan Royals,39,1
Punjab Cricket Association IS Bindra Stadium,2,Rajasthan Royals,Punjab Kings,54,1
Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,41,0
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,68,1
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,56,0
Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,48,0
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,42,1
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,37,3
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,45,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,60,1
Arun Jaitley Stadium,1,Punjab Kings,Delhi Capitals,50,2
Arun Jaitley Stadium,2,Delhi Capitals,Punjab Kings,60,1
Rajiv Gandhi International Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,61,2
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,72,0
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,49,1
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,32,4
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Capitals,52,1
Sawai Mansingh Stadium,2,Delhi Capitals,Rajasthan Royals,59,0
MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,54,1
MA Chidambaram Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,49,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,70,1
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,68,1
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,32,2
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,55,1
MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,45,1
MA Chidambaram Stadium,2,Chennai Super Kings,Mumbai Indians,40,3
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,51,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,60,0
Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,59,1
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,64,1
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,50,0
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,41,2
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Punjab Kings,77,0
Rajiv Gandhi International Stadium,2,Punjab Kings,Sunrisers Hyderabad,44,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,62,7
M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,41,1
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,27,1
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,59,2
Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,44,1
Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,59,2
Punjab Cricket Association IS Bindra Stadium,1,Punjab Kings,Kolkata Knight Riders,41,2
Punjab Cricket Association IS Bindra Stadium,2,Kolkata Knight Riders,Punjab Kings,62,1
Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Capitals,30,4
Arun Jaitley Stadium,2,Delhi Capitals,Rajasthan Royals,46,2
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,52,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,49,3
Punjab Cricket Association IS Bindra Stadium,1,Chennai Super Kings,Punjab Kings,42,1
Punjab Cricket Association IS Bindra Stadium,2,Punjab Kings,Chennai Super Kings,67,0
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,49,0
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,46,0
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,32,3
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,44,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,54,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,55,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,41,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Chennai Super Kings,Delhi Capitals,42,0
Rajiv Gandhi International Stadium,1,Mumbai Indians,Chennai Super Kings,45,2
Rajiv Gandhi International Stadium,2,Chennai Super Kings,Mumbai Indians,53,1
Sheikh Zayed Stadium,1,Mumbai Indians,Chennai Super Kings,51,2
Sheikh Zayed Stadium,2,Chennai Super Kings,Mumbai Indians,31,2
Dubai International Cricket Stadium,1,Delhi Capitals,Punjab Kings,23,3
Dubai International Cricket Stadium,2,Punjab Kings,Delhi Capitals,35,3
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,17,4
Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,44,0
Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,48,2
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,55,0
Sharjah Cricket Stadium,1,Rajasthan Royals,Chennai Super Kings,54,1
Sharjah Cricket Stadium,2,Chennai Super Kings,Rajasthan Royals,53,0
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Delhi Capitals,36,2
Sheikh Zayed Stadium,2,Delhi Capitals,Kolkata Knight Riders,36,2
Dubai International Cricket Stadium,1,Punjab Kings,Sunrisers Hyderabad,47,1
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Punjab Kings,52,0
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Mumbai Indians,54,0
Sheikh Zayed Stadium,2,Mumbai Indians,Royal Challengers Bangalore,41,1
Sharjah Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,50,3
Sharjah Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,41,1
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Chennai Super Kings,51,1
Sheikh Zayed Stadium,2,Chennai Super Kings,Kolkata Knight Riders,54,1
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,30,2
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,58,1
Sheikh Zayed Stadium,1,Mumbai Indians,Punjab Kings,41,2
Sheikh Zayed Stadium,2,Punjab Kings,Mumbai Indians,41,2
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,42,1
Dubai International Cricket Stadium,2,Rajasthan Royals,Kolkata Knight Riders,39,2
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Delhi Capitals,40,1
Sheikh Zayed Stadium,2,Delhi Capitals,Royal Challengers Bangalore,53,1
Sheikh Zayed Stadium,1,Punjab Kings,Chennai Super Kings,53,1
Sheikh Zayed Stadium,2,Chennai Super Kings,Punjab Kings,57,0
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,26,1
Dubai International Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36,3
Sheikh Zayed Stadium,1,Mumbai Indians,Kolkata Knight Riders,59,1
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Mumbai Indians,33,2
Sharjah Cricket Stadium,1,Chennai Super Kings,Delhi Capitals,39,1
Sharjah Cricket Stadium,2,Delhi Capitals,Chennai Super Kings,41,2
Dubai International Cricket Stadium,1,Punjab Kings,Royal Challengers Bangalore,48,0
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Punjab Kings,36,3
Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,57,1
Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,31,3
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,48,1
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,54,0
Dubai International Cricket Stadium,1,Punjab Kings,Chennai Super Kings,46,0
Dubai International Cricket Stadium,2,Chennai Super Kings,Punjab Kings,60,0
Sheikh Zayed Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,38,3
Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,50,1
Sharjah Cricket Stadium,1,Delhi Capitals,Kolkata Knight Riders,57,1
Sharjah Cricket Stadium,2,Kolkata Knight Riders,Delhi Capitals,58,1
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,42,1
Dubai International Cricket Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,36,3
Dubai International Cricket Stadium,1,Mumbai Indians,Punjab Kings,43,3
Dubai International Cricket Stadium,2,Punjab Kings,Mumbai Indians,51,1
Dubai International Cricket Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,47,1
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,52,2
Dubai International Cricket Stadium,1,Delhi Capitals,Royal Challengers Bangalore,63,0
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Delhi Capitals,43,3
Sharjah Cricket Stadium,1,Kolkata Knight Riders,Punjab Kings,54,3
Sharjah Cricket Stadium,2,Punjab Kings,Kolkata Knight Riders,36,0
Sharjah Cricket Stadium,1,Chennai Super Kings,Mumbai Indians,24,5
Sharjah Cricket Stadium,2,Mumbai Indians,Chennai Super Kings,52,0
Dubai International Cricket Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51,1
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,47,1
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Punjab Kings,25,2
Sheikh Zayed Stadium,2,Punjab Kings,Kolkata Knight Riders,47,0
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,77,0
Dubai International Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,54,2
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,36,1
Dubai International Cricket Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,26,2
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Mumbai Indians,33,2
Sheikh Zayed Stadium,2,Mumbai Indians,Kolkata Knight Riders,51,0
Sharjah Cricket Stadium,1,Punjab Kings,Rajasthan Royals,60,0
Sharjah Cricket Stadium,2,Rajasthan Royals,Punjab Kings,69,1
Dubai International Cricket Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,44,2
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,40,2
Sheikh Zayed Stadium,1,Delhi Capitals,Mumbai Indians,46,2
Sheikh Zayed Stadium,2,Mumbai Indians,Delhi Capitals,44,1
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,55,1
Dubai International Cricket Stadium,2,Rajasthan Royals,Kolkata Knight Riders,41,5
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Punjab Kings,57,1
Sharjah Cricket Stadium,2,Punjab Kings,Royal Challengers Bangalore,56,0
Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Delhi Capitals,38,0
Sheikh Zayed Stadium,2,Delhi Capitals,Sunrisers Hyderabad,34,1
Sheikh Zayed Stadium,1,Chennai Super Kings,Rajasthan Royals,43,2
Sheikh Zayed Stadium,2,Rajasthan Royals,Chennai Super Kings,31,3
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,53,0
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,48,1
Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,22,2
Dubai International Cricket Stadium,2,Mumbai Indians,Delhi Capitals,38,0
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Chennai Super Kings,48,0
Dubai International Cricket Stadium,2,Chennai Super Kings,Kolkata Knight Riders,44,0
Sheikh Zayed Stadium,1,Punjab Kings,Rajasthan Royals,53,1
Sheikh Zayed Stadium,2,Rajasthan Royals,Punjab Kings,66,1
Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,48,2
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,56,1
Dubai International Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,36,0
Dubai International Cricket Stadium,2,Chennai Super Kings,Delhi Capitals,34,1
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,47,0
Sharjah Cricket Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,43,1
Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,59,1
Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,55,2
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Punjab Kings,58,0
Dubai International Cricket Stadium,2,Punjab Kings,Sunrisers Hyderabad,45,2
Dubai International Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,47,2
Dubai International Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,50,2
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,46,1
Dubai International Cricket Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,48,1
Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,40,1
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,52,2
Dubai International Cricket Stadium,1,Delhi Capitals,Punjab Kings,53,1
Dubai International Cricket Stadium,2,Punjab Kings,Delhi Capitals,57,3
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Mumbai Indians,59,0
Dubai International Cricket Stadium,2,Mumbai Indians,Royal Challengers Bangalore,35,2
Dubai International Cricket Stadium,1,Mumbai Indians,Delhi Capitals,63,1
Dubai International Cricket Stadium,2,Delhi Capitals,Mumbai Indians,32,4
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,32,2
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,48,2
Sheikh Zayed Stadium,1,Delhi Capitals,Sunrisers Hyderabad,64,0
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Delhi Capitals,49,3
Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,41,3
Dubai International Cricket Stadium,2,Mumbai Indians,Delhi Capitals,61,1
MA Chidambaram Stadium,1,Mumbai Indians,Royal Challengers Bangalore,41,1
MA Chidambaram Stadium,2,Royal Challengers Bangalore,Mumbai Indians,46,2
Wankhede Stadium,1,Chennai Super Kings,Delhi Capitals,33,2
Wankhede Stadium,2,Delhi Capitals,Chennai Super Kings,65,0
MA Chidambaram Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,50,0
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,35,2
Wankhede Stadium,1,Punjab Kings,Rajasthan Royals,46,1
Wankhede Stadium,2,Rajasthan Royals,Punjab Kings,57,2
MA Chidambaram Stadium,1,Mumbai Indians,Kolkata Knight Riders,42,1
MA Chidambaram Stadium,2,Kolkata Knight Riders,Mumbai Indians,45,0
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,47,1
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,50,1
Wankhede Stadium,1,Delhi Capitals,Rajasthan Royals,36,3
Wankhede Stadium,2,Rajasthan Royals,Delhi Capitals,26,3
Wankhede Stadium,1,Punjab Kings,Chennai Super Kings,26,4
Wankhede Stadium,2,Chennai Super Kings,Punjab Kings,32,1
MA Chidambaram Stadium,1,Mumbai Indians,Sunrisers Hyderabad,53,0
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Mumbai Indians,57,0
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,45,2
MA Chidambaram Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,57,2
Wankhede Stadium,1,Punjab Kings,Delhi Capitals,59,0
Wankhede Stadium,2,Delhi Capitals,Punjab Kings,62,1
Wankhede Stadium,1,Chennai Super Kings,Rajasthan Royals,46,2
Wankhede Stadium,2,Rajasthan Royals,Chennai Super Kings,45,2
MA Chidambaram Stadium,1,Mumbai Indians,Delhi Capitals,55,1
MA Chidambaram Stadium,2,Delhi Capitals,Mumbai Indians,39,1
MA Chidambaram Stadium,1,Punjab Kings,Sunrisers Hyderabad,32,1
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Punjab Kings,50,0
Wankhede Stadium,1,Chennai Super Kings,Kolkata Knight Riders,54,0
Wankhede Stadium,2,Kolkata Knight Riders,Chennai Super Kings,45,5
Wankhede Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,32,3
Wankhede Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59,0
Narendra Modi Stadium,1,test1,test2,22,3
Narendra Modi Stadium,2,test1,test2,50,1
Narendra Modi Stadium,1,test1,test2,24,3
Narendra Modi Stadium,1,test1,test2,45,1
Narendra Modi Stadium,1,test1,test2,60,0
Narendra Modi Stadium,2,test2,test1,50,0
Narendra Modi Stadium,1,test2,test1,44,1
Narendra Modi Stadium,2,test2,test1,57,1
Narendra Modi Stadium,2,test2,test1,48,1
Narendra Modi Stadium,2,test2,test1,62,1
MA Chidambaram Stadium,2,Punjab Kings,Mumbai Indians,45,0
MA Chidambaram Stadium,1,Mumbai Indians,Punjab Kings,21,1
Wankhede Stadium,1,Kolkata Knight Riders,Rajasthan Royals,25,1
Wankhede Stadium,2,Rajasthan Royals,Kolkata Knight Riders,50,2
Wankhede Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,51,0
Wankhede Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,65,2
MA Chidambaram Stadium,1,Delhi Capitals,Sunrisers Hyderabad,51,0
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Delhi Capitals,56,2
Narendra Modi Stadium,1,Punjab Kings,Kolkata Knight Riders,37,1
Narendra Modi Stadium,2,Kolkata Knight Riders,Punjab Kings,42,3
Narendra Modi Stadium,1,Royal Challengers Bangalore,Delhi Capitals,36,2
Narendra Modi Stadium,2,Delhi Capitals,Royal Challengers Bangalore,43,2
Arun Jaitley Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,39,1
Arun Jaitley Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,50,0
Arun Jaitley Stadium,1,Rajasthan Royals,Mumbai Indians,47,0
Arun Jaitley Stadium,2,Mumbai Indians,Rajasthan Royals,49,1
Narendra Modi Stadium,1,Kolkata Knight Riders,Delhi Capitals,45,1
Narendra Modi Stadium,2,Delhi Capitals,Kolkata Knight Riders,67,0
Narendra Modi Stadium,1,Punjab Kings,Royal Challengers Bangalore,49,1
Narendra Modi Stadium,2,Royal Challengers Bangalore,Punjab Kings,36,1
Arun Jaitley Stadium,1,Chennai Super Kings,Chennai Super Kings,49,1
Arun Jaitley Stadium,2,Mumbai Indians,Mumbai Indians,58,0
